"IMF_SBA","IMF_PRGF_ESF","IMF_All","GDP_pctchng","IP_pctchng","FX_FebSep_chng","FX_JunJun_chng","Equity_SepFeb_chng","Equity_SepFeb_Sharpe","Equity_JunJun_chng","Equity_JunJun_Sharpe","EquityVarDummy","FXVarDummy","GDPVarDummy","IPVarDummy","fx_res_index","Savings_pct_GNI","AgriExports_pct_MerchExp","AgriImp_pct_MerchImp","AgriValueAdd_pct_GDP","AgriValueAdd_pct_Growth","Aid_pct_GNI","BankLiquidRestoAss","BusinessDisclosure","ReservesChangesUSD","ClaimsOnGovOtherPublicLCU","ClaimOnGov_pct_anngrowth","ClaimsOnPriv_pct_anngrowth","CPIlevel","CreditDepthofInfo","CA_pct_GDP","CAUSD","CurrentTransfersReceiptsUSD","ExtDebtServicePPGIMF_pct_Exports","ExtDebtServicePPGUSD","ExtDebtServiceTotalUSD","DepositInterestRate","domesticcreditbybanks_pct_gdp","domesticcredittotal_pct_gdp","ExportsAsCapacityToImport","Exports_pct_GDP","Exports_pct_GrowthAnn","ExportsUSDBoP","Exports2000USD","ExportsconstantLCU","ExportscurrentLCU","ExportsUSD","ExportsAndIncomeBoPUSD","TradeBalance_pct_GDP","TradeBalanceLCUconst","TradeBalanceLCUcurrent","TradeBalanceUSDcurrent","Consumption_pct_GDP","FinancingViaInterCapMarkets_pct_GDP","FoodExp_pct_Exp","FoodImp_pct_Imp","FDIcurrentUSD","FDIinflows_pct_GDP","FDIinflowsUSD","FDIoutflows_pct_GDP","GDPUSD2000","GDPLCUconstant","GDPLCUcurrent","GDPcurrentUSD","GDPdeflator","GDPgrowth_pct_","GDPpercapita2000USD","GDPpercapitaLCUconstant","GDPpercapitaCurrentUSD","GDPpercapitaGrowth","GDPpercapitaPPP2005USD","GDPpercapitaPPPcurrentUSD","GDPPPP2005USD","GDPPPPcurrentUSD","GovExp_pct_GDP","GovExp_pct_Growth","GovExp2000USD","GovExpconstnantLCU","GovExpcurrentLCU","GovExpcurrentUSD","GNIcurrentLCU","GNIUSD","GNIPPPUSD","GoodsExpUSD","GoodsImpUSD","Investment_pct_GDP","Investment_pct_growth","SavingsDomestic_pct_GDP","SavingsGross_pct_GDP","SavingsGross_pct_GNI","SavingsGrossLCUcurrent","SavingsGrossUSD","Consumption_pct_Growth","ConsumptionUSD2000","ConsumptionLCUconstant","ConsumptionLCUcurrent","ConsumptionUSD","Imports_pct_GDP","Imports_pct_Growth","ImportsBoPUSD","ImportsUSD2000","ImportsLCUconstant","Importscurrent","ImportsUSD","ImportsandIncomeBoPUSD","dontuse10","GDPdeflator_pct_annual","LendingMinusDepositRate","LendingRate","M3_pct_GDP","ManufactureExports_pct_Total","ManufactureImports_pct_total","StockMarketCap_pct_GDP","StockMarkCapUSDcurrent","ExportsMerchUSD","ImportsMerchUSD","MerchandiseTrade_pct_GDP","M1LCU","M2LCU","M2_pct_GDP","M2toTotal_Reserves","M2growth_pct_","MultilateralDebtService_pct_PPGDebtService","MultilateralDebtServUSD","CapitalAccountUSD","CurrentTransfersUSD","DomesticCreditLCU","FinancialFlowsUSD","ForeignAssetsNetLCUcurrent","IncomeNetBoPUSD","IncomefromabroadLCUcurrent","IncomefromabroadUSDcurrent","PortfolioInvBondsUSD","PortfolioInvEquityUSD","other","DebtExternalPVof_pct_Exports","DebtExternalPV_pct_GNI","DebtExternalPVUSD","DebtServicePPG_pct_Exports","DebtServicePPG_pct_GNI","quasi_liq_liab_pct_GDP","REER","RealInterestRate","ServiceExportsUSD","ServiceImportsUSD","DebtST_pct_Exports","DebtST_pct_TotalExternal","DebtST_pct_Reserves","LegalRightsIndex","TermsofTradeAdjustment","DebtService_pct_GNI","Reserves_pct_ExtDebt","ReservesUSD","ReservesInMonthsImports","ReservesLessGold","Services_pct_GDP","Unemployment_pct_","IMFcreditUSD","RemittancesPaidUSD","RemittancesReceived_pct_GDP","RemittancesReceivedUSD","RemittancesNetUSD","GDPgrowth2007","GDPGrowthLast5yrs","GDPGrowthLastTenYears","CPI2007","CPIAvLast5Years","CPIAvLast10Years","CA2007_pct_GDP","CAAvLast5Yrs_pct_GDP","CAAvLast10yrs_pct_GDP","WDIDummy","EuroArea","peg","financiallyclosed","LowIncome","MiddleIncome","UpperIncome","OECD","SouthAsia","EuropeCentralAsia","MENA","EAPacific","SubSaharan","LatAmCarribean","NorthAmerica","Equity5yr_pct_chng","Equity5yrSharpe","REER5yr_pct_rise","REERDevFrom10yrAv","credit_domestic_pct_gdp","credit_domestic_pctGDP_5yr_rise","credit_domestic_pctGDP_10yr_rise","m3_5yr_chng","m2_5yr_chng"
"Seychelles",1,0,1,NA,NA,-0.51368705,-0.414296492,NA,NA,NA,NA,0,1,0,0,-0.48917576,-13.5734,NA,1.2422,2.3938,6.2993,0.3305,9.5032,4,45028398.5,3178185444,-0.9975,8.7341,104.9483,0,-28.9181,-263805587.3,60534354.37,8.1972,71604000,99397000,3.0686,87.978,32.4746,5327321507,108.8013,30.604,863897969.5,858960869.8,4433949513,6651022429,992541742.5,873522568.1,-35.1335,-2613640829,-2147710925,-320506022.4,101.9317,3.2886,97.786,22.1436,240817789.2,27.3291,249310000,0.9308,694249451.3,2953000000,6113000000,912251873.6,207.0098,7.2648,8164.5669,34728.1024,10728.3361,6.7198,19652.381,20810.2345,1671081260,1769535857,18.0352,-2.6888,142383843.2,574543247.2,1102492753,164526595.8,5637000000,841217701.9,1631747690,391674859.4,804000801.9,33.2018,35.4138,-1.9317,-3.3495,-3.6323,-204755502,-30555961.13,30.2275,502812847.1,1835315546,3893331630,581007537.1,143.9348,43.6468,1106532262,1136331705,7047590342,8798733353,1313047765,1187226656,5.3206,6.6825,7.8251,10.8937,75.8726,2.2022,48.2547,NA,NA,360147000,859172000,133.6603,2646274571,4638094568,79.1593,16.9774,-7.9728,8.5093,6093000,4608661.103,49898500.79,5281564444,-15409000,426514440.7,-71069795.28,-476000000,-71034171.74,30000000,0,31292196.95,161.7902,192.6275,1347990990,8.1972,8.5119,32.5833,NA,3.9474,472223110.1,302531460.5,88.3753,59.7603,1917.1564,4,893371994.8,11.8158,3.1171,40768609.42,0.4121,40768609.42,84.9277,NA,0,21260000,1.2265,11189000,10885263.85,7.2648,2.85966,2.77685,5.3206,2.60684,3.43748,-28.9181,-14.47622,-15.46896,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,0.863988949,-0.42764763,0.067491887,-28.95770921,-20.75727657
"Sierra_Leone",0,0,0,NA,NA,-0.036996697,-0.096778848,NA,NA,NA,NA,0,1,0,0,NA,1.9614,NA,NA,44.6905,5.7499,32.8727,7.7191,3,-33857685.64,201000000000,-4.5029,8.4784,111.5112,0,-10.8883,-181127909.7,212632862.9,4.2931,13087000,13293000,10.0292,9.7679,5.3112,NA,20.9496,NA,334971966.8,NA,NA,1040000000000,348500000,378247899.1,-7.382,NA,-367000000000,-122800000,93.9445,0,NA,NA,94467522.54,5.6789,94470000,NA,1384235514,134000000000,4970000000000,1663516619,3699.1035,6.8453,255.3752,24766.7662,306.8992,3.8964,691.4814,732.2212,3748105721,3968931750,10.4976,NA,NA,NA,521000000000,174629555,4860000000000,1628616619,3885664943,292874299.6,395446396.3,13.4374,NA,6.0555,9.6202,9.8264,478000000000,160034205.1,NA,NA,NA,4140000000000,1388152859,28.3315,NA,489606678.3,NA,NA,1410000000000,471300000,637204816.1,11.5112,10.3007,14.9708,25,21.7222,NA,NA,NA,NA,245238000,444668000,41.4727,550000000000,1080000000000,19.7166,1.6686,22.6483,40.6663,5322000,634192082.4,77829007.3,485000000000,-2999000,858000000000,-104322205.5,-104000000000,-34900000,0,0,NA,37.0658,10.3197,143076000,3.4599,0.8036,10.6551,73.8858,13.3266,42097667.29,94160282.04,0.6493,0.9782,1.5728,4,NA,0.8162,62.1974,216555216.5,4.0782,216555216.5,8.191,NA,36524000,135831000,8.9221,148420000,146328310.7,6.8453,7.64738,7.87166,11.5112,NA,NA,-10.8883,-8.7081,-10.09512,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,NA,NA,-0.224260712,-0.248821913,0.097679067,-0.307520624,-0.503704633,2.537841187,2.720632083
"Singapore",0,0,0,-0.032807167,-0.06517094,-0.080002583,-0.060591405,-0.414067684,-2.255065235,-0.208445008,-1.135218009,1,1,1,1,0.272579951,NA,0.2891,0.3552,0.077,-3.2086,NA,2.3642,10,-19640167011,-46676400000,2.9774,12.8448,103.1208,4,23.4238,39105940067,151742376.4,NA,NA,NA,0.5292,77.9797,96.5307,NA,230.1662,NA,373000000000,NA,NA,579000000000,384000000000,416000000000,31.6735,NA,79694100000,52878813180,47.5821,NA,1.7093,2.8252,11837024930,14.4577,24137057774,7.3675,134000000000,231000000000,252000000000,167000000000,108.9832,7.7662,29185.1604,50314.1263,36383.54,3.3697,47497.0721,50295.443,218000000000,231000000000,9.7174,NA,NA,NA,24450000000,16223120435,234000000000,155000000000,215000000000,303000000000,254000000000,20.7443,NA,52.4179,NA,NA,NA,NA,NA,NA,NA,97004000000,64364317982,198.4927,NA,326000000000,NA,NA,499000000000,331000000000,375000000000,2.0787,5.5781,4.8008,5.33,118.2613,75.8842,71.459,211.7338,353000000000,299000000000,263000000000,336.9002,63938500000,298000000000,111.2686,1.2116,13.4119,NA,NA,-259106607.5,-1695568489,186000000000,NA,239000000000,-5708108610,-17364800000,-11521932177,NA,6742610817,-16593107521,NA,NA,NA,NA,NA,92.8497,95.7667,-0.235,69828888600,72418590941,NA,NA,NA,10,NA,NA,NA,163000000000,5.2126,163000000000,85.2039,3.95,NA,NA,NA,NA,NA,7.7662,7.2972,5.41301,2.0787,1.13906,0.74116,23.4238,20.60496,17.93144,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1.66003761,1.28436377,0.004817001,0.002708638,0.73953762,-0.027443065,0.014164926,NA,NA
"Slovak_Republic",0,0,0,-0.054111364,-0.198074278,-0.106632175,-0.106544433,-0.249269331,-1.854469254,-0.239994518,-1.785468164,1,1,1,1,-0.093726816,10.2486,0.9856,1.1837,3.5479,-19.4801,NA,6.6974,3,-3422819651,170000000000,-1.4398,14.8297,107.3636,4,-5.4722,-4102586954,2070446342,NA,NA,NA,3.7225,51.5479,42.3839,1340000000000,86.4728,13.8059,64868667816,30404285714,1400000000000,1600000000000,64830291749,67208227942,-1.0254,44543000576,-18998000000,-768745194.8,73.1878,3.8118,3.7344,5.3325,2960033821,4.4861,3363351115,0.538,30940930736,1430000000000,1850000000000,74971917614,129.6131,10.4232,5732.6492,264848.3932,13890.5874,10.3023,19341.5399,20075.7159,104000000000,108000000000,17.321,-1.3498,5133311688,237000000000,321000000000,12985918343,1770000000000,71774497387,104000000000,57805857962,58714599103,27.8376,10.4273,26.8122,23.0235,24.0492,427000000000,17261186215,6.9916,16329675325,754000000000,1040000000000,41884392830,87.4981,8.8916,65245126902,29440151515,1360000000000,1620000000000,65599036944,70873162588,2.7567,1.1145,4.2667,7.9892,58.3611,86.8278,78.9217,9.2985,6971300000,58324492920,60411852850,158.3744,599000000000,1080000000000,55.4454,2.3078,11.1012,NA,NA,306990297.8,-437652308.3,955000000000,NA,262000000000,-3288475560,-79017846076,-3197420227,NA,232064975.3,-734295998,NA,NA,NA,NA,NA,26.0535,158.2867,6.7989,7062809854,6530527798,NA,NA,NA,9,-60482216401,NA,NA,18973379157,3.2125,18032075407,18.1312,11.01,NA,73150000,1.9776,1482652000,NA,10.4232,7.07114,4.92899,2.7567,5.21034,6.60091,-5.4722,-5.90808,NA,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,2.183896549,1.667757152,0.46307105,0.366252909,0.515479164,0.004357334,-0.137713436,NA,NA
"Slovenia",0,0,0,-0.057754174,-0.212680578,NA,NA,-0.474985007,-3.425646273,-0.458795334,-3.308884498,1,0,1,1,0.119144129,13.7366,1.5334,2.8851,2.3663,-11.0283,NA,1.0364,3,168022106.1,NA,NA,40.4906,106.1627,2,-4.859,-2292574902,1251319020,NA,NA,NA,3.5975,82.0285,78.9912,18843492895,70.1649,13.8189,32772489247,20008099611,18592266068,24186502292,33104985343,34172558345,-1.3037,-601337877.3,-449383867.9,-615088787.1,69.8559,NA,3.2353,6.4579,-91670751.25,3.1427,1482772660,3.337,26909526641,25005327282,34470942312,47181689450,137.8544,6.7646,13333.9444,12390.3943,23379.0075,6.1692,26293.8705,26753.3421,53064238589,53991508252,17.6834,2.5057,4666665635,4336438284,6095639500,8343333562,33792224543,46252702632,52928439083,27122749834,29432374536,31.4477,17.1727,30.1441,27.4162,27.9669,9450624834,12935429556,5.0464,14109578868,13111142463,17984354898,24615870377,71.4686,15.6682,33663006511,20655230418,19193603945,24635886159,33720074130,36062664031,3.6137,4.1245,2.315,5.9125,NA,87.5125,74.2746,61.3869,28963380000,30137560920,31624824280,130.9033,NA,NA,NA,NA,NA,NA,NA,-74056510.12,-402469216.8,28276000000,NA,-1510649143,-999588421.6,-678717768.8,-928986817.5,NA,274517520.8,-3113822346,NA,NA,NA,NA,NA,NA,NA,1.7172,5649739413,4230631975,NA,NA,NA,6,251226827,NA,NA,1065678127,0.3546,979801877.5,20.9411,4.6,NA,206780000,0.6028,284410000,4710701.095,6.7646,4.82752,4.42821,3.6137,3.54382,5.65533,-4.859,-2.59042,-1.81882,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,2.403862044,2.313678551,NA,NA,0.82028509,0.382672657,0.499136935,NA,NA
"Solomon_Islands",0,0,0,NA,NA,-0.043410776,-0.02836271,NA,NA,NA,NA,0,1,0,0,0.19486941,NA,NA,NA,33.4131,6.2625,47.0857,20.3083,3,NA,-54151545.84,-3.9883,31.8336,119.7416,0,NA,NA,NA,NA,12434000,14939000,0.7083,34.6586,30.4783,NA,43.147,NA,NA,NA,NA,1752500000,229084967.3,NA,-24.3076,NA,-987300000,-129058823.5,105.4534,0,NA,NA,NA,7.9898,42420881.38,NA,549932187.5,3447979693,4061700000,530941176.5,117.7994,10.2441,1110.1628,6960.5289,1071.8252,7.7204,2299.7957,2435.2921,1139230803,1206350525,36.9771,NA,NA,NA,1501900000,196326797.4,4029570000,526741176.5,1196807712,NA,NA,18.8542,NA,-5.4534,2.0427,2.059,82970000,10845751.63,NA,NA,NA,346400000,45281045.75,67.4545,NA,NA,NA,NA,2739800000,358143790.8,NA,7.6635,6.0133,13.4128,14.1211,28.7988,NA,NA,NA,NA,167976141,286183400,85.5386,720048819.9,1374737319,30.5738,1.5091,23.9741,35.226,4380000,NA,NA,968925031.1,-5299000,977846814.1,NA,-32130000,-4200000,0,0,NA,68.2025,41.5631,140938580,NA,2.3606,10.9184,84.6442,7.6479,NA,NA,NA,2.9692,4.4435,4,NA,2.8361,66.822,119051390.5,NA,119051390.5,NA,NA,0,2800000,3.8483,20432000,NA,10.2441,7.17138,1.21298,7.6635,8.29358,8.76328,NA,NA,NA,1,0,NA,1,0,1,0,0,0,0,0,1,0,0,0,NA,NA,0.014318518,-0.044438685,0.238551599,0.008762861,0.055509573,10.7738499,11.10164715
"Somalia",0,0,0,NA,NA,-0.013625989,-0.016949153,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,0,0,NA,NA,NA,3627751110,NA,NA,NA,NA,NA,NA,NA,NA,26.7631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176994000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,1,1,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"South_Africa",0,0,0,-0.024506345,NA,-0.240607514,0.013663469,-0.292090413,-1.425209073,-0.275010415,-1.341869917,1,1,1,0,0.088864186,2.0746,2.1238,0.9513,3.1964,0.9273,0.2891,2.7348,8,-5737274937,-45010619684,-0.8498,26.1842,109.473,6,-7.3234,-20779692549,265071860,3.3515,3227370000,5719129000,9.1525,197.5937,163.9203,396000000000,31.5662,8.2855,89481837021,48709853320,338000000000,631000000000,89567091609,96363498521,-3.0895,-96700000000,-61762000000,-8766287045,81.7466,9.8682,6.5815,5.1688,2754820697,2.025,5745870000,1.051,178000000000,1230000000000,2000000000000,284000000000,162.0097,5.0978,3715.8102,25787.0836,5929.7655,4.0882,9224.2192,9767.6798,441000000000,467000000000,19.6697,4.9547,33985136628,236000000000,393000000000,55811450313,1940000000000,275000000000,453000000000,75920103399,81661081400,21.343,8.9027,18.2534,14.0342,14.495,281000000000,39821017163,6.967,122000000000,847000000000,1230000000000,175000000000,34.6557,10.4273,98223748686,62643916402,435000000000,693000000000,98333378654,114000000000,6.0897,8.9905,4.0142,13.1667,47.8626,50.7118,64.6985,293.7682,834000000000,69784100000,88449600000,55.7665,398000000000,1360000000000,62.5345,5.8835,20.1524,1.5095,48718000,27974624.83,-2952528187,1740000000000,0,305000000000,-9085252697,-63553000000,-9020495460,4644620000,8669900000,10242422638,58.1797,18.9906,48323441500,3.3492,1.1748,48.3349,90.86,3.8317,13561733622,16562667286,17.1829,38.1695,50.2986,9,57943698227,2.0818,75.8859,32919404063,3.4594,29588572813,10.6168,22.97,0,1185780000,0.2938,833680000,NA,5.0978,4.67368,3.68019,6.0897,3.22126,4.83733,-7.3234,-4.39322,-2.31671,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2.121405982,1.390320377,0.130495046,0.018332911,0.868172474,0.154217559,0.203189145,5.153022824,10.89652568
"South_Asia",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,26.7533,1.8468,2.3026,18.5618,4.5749,0.7182,10.6595,4.25,NA,NA,NA,NA,115.1175,1.875,NA,-9256340755,NA,7.4461,14078648000,45202469000,NA,61.087,44.403,NA,20.4352,7.3971,NA,207000000000,NA,NA,294000000000,NA,-4.7845,NA,NA,NA,NA,4.5336,9.8629,4.2234,NA,2.0737,29926257942,NA,985000000000,NA,NA,1440000000000,NA,8.437,647.9132,NA,949.1624,6.85,2391.0935,2531.9688,3640000000000,3850000000000,9.7905,3.4965,91391626665,NA,NA,144000000000,NA,1450000000000,3860000000000,NA,NA,35.3842,15.1046,30.5997,35.2001,35.7982,NA,NA,6.1412,593000000000,NA,NA,844000000000,25.2198,7.2962,NA,261000000000,NA,NA,357000000000,NA,NA,7.0523,6.662,NA,70.5247,66.3825,47.911,133.3916,1910000000000,187000000000,287000000000,32.8416,NA,NA,64.1859,NA,NA,NA,4048692000,NA,NA,NA,398801000,NA,NA,NA,NA,9477008000,36093400000,NA,NA,NA,259000000000,7.0902,0.9743,48.6854,NA,NA,NA,NA,8.18,16.1254,16.2196,4.5,NA,3.1281,101.0994,302000000000,NA,291000000000,NA,NA,2277250000,2007475000,3.8753,55489858000,NA,8.437,8.33442,6.65196,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.66467813,8.894267605
"Spain",0,0,0,-0.042339294,-0.15786802,-0.11482492,-0.10914305,-0.374493073,-2.522565374,-0.187478209,-1.262843221,1,1,1,1,0.205711861,7.0948,1.154,1.341,2.9063,3.7712,NA,2.3392,5,-214866290.6,NA,NA,NA,106.408,5,-10.0674,-145000000000,25746638781,NA,NA,NA,NA,192.5356,182.696,255000000000,26.1966,5.3052,392000000000,220000000000,238000000000,275000000000,376000000000,470000000000,-6.5393,-79784100000,-68653000000,-93962827110,75.2339,NA,13.4851,8.7343,-69682764864,4.1842,60121811197,9.8254,735000000000,798000000000,1050000000000,1440000000000,131.5428,3.8252,16384.2614,17783.4773,32016.9783,2.0611,28536.4219,31559.5231,1280000000000,1420000000000,18.3587,5.1444,140000000000,152000000000,193000000000,264000000000,1020000000000,1400000000000,1380000000000,264000000000,389000000000,31.3054,NA,24.7661,21.3086,21.8702,224000000000,306000000000,3.1523,441000000000,478000000000,597000000000,817000000000,32.7359,6.6073,486000000000,293000000000,318000000000,344000000000,470000000000,605000000000,2.794,3.0802,NA,NA,NA,75.4306,70.0867,125.2775,1800000000000,253000000000,390000000000,44.7534,NA,NA,NA,NA,NA,NA,NA,5710485570,-9464216319,2020000000000,NA,43650505991,-41460258778,-26958000000,-36896419577,NA,15393100739,119000000000,NA,NA,NA,NA,NA,NA,117.3517,NA,128000000000,96354525977,NA,NA,NA,6,16223647726,NA,NA,19028953069,0.3773,11480180569,15.6173,8.26,NA,15183460000,0.7474,10738960000,7286141338,3.8252,3.53318,3.8282,2.794,3.15134,2.99914,-10.0674,-7.04138,-5.05242,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1.514916596,1.294360619,0.124380318,0.111010818,1.925355861,0.692373686,0.902583,NA,NA
"Sri_Lanka",1,0,1,0.020529328,NA,-0.056167979,-0.063152401,-0.302621957,-2.016043081,-0.010452267,-0.06963216,1,1,1,0,0.050622536,12.9868,NA,NA,11.6832,3.3922,1.8397,7.202,4,-680600074.2,377000000000,1.3506,15.8989,127.4497,3,-4.3295,-1400900000,2598300000,7.0095,678151000,824857000,9.08,45.0172,33.2552,NA,29.115,NA,9414900000,NA,NA,1040000000000,9420750452,9864030000,-10.3765,NA,-371000000000,-3357531646,83.0706,3.4096,NA,NA,548000000,1.8636,603000000,0.17,22811733077,2230000000000,3580000000000,32357034358,160.2884,6.7976,1140.0166,111577.0115,1617.0432,6.1358,4007.5916,4243.7057,80191907900,84916550666,15.2722,NA,NA,NA,547000000000,4941636528,3540000000000,32003924051,83989861620,7639900000,10166850000,27.3059,NA,16.9294,22.6844,22.9347,812000000000,7340000000,NA,NA,NA,2400000000000,21728453888,39.4915,NA,12768600000,NA,NA,1410000000000,12778282098,13575480000,15.8421,14.0276,7.9967,17.0767,39.2723,NA,NA,23.3432,7553170000,7740090000,11300100000,58.8441,268000000000,1410000000000,36.4845,3.477,16.5465,25.0679,169998000,268750000,2310550000,1610000000000,124691000,229000000000,-357750000,-39054000000,-353110307.4,500000000,-322000000,973590000,104.8042,41.5638,11638143970,6.875,2.119,31.7833,NA,2.674,1775000000,2601750000,13.198,11.6401,44.6644,3,NA,2.5774,26.0614,3653918324,3.2299,3515031415,13.5264,5.97,251205000,314250000,7.8088,2526700000,2501500000,6.7976,6.41844,4.95105,15.8421,10.2785,9.53342,-4.3295,-3.15974,-2.99662,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2.117358393,1.170566537,NA,NA,0.450172389,0.027760065,0.082379027,-7.00127689,0.677404595
"St_Kitts_and_Nevis",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.494749606,NA,0.0293,1.8491,NA,NA,0.6012,6.4728,4,-7084823.521,507254710,2.5596,6.2472,113.3113,0,-26.4624,-135403242.2,46135604.44,19.8257,45935000,45965000,4.5957,152.8995,73.7394,NA,NA,NA,217559852.6,NA,NA,NA,NA,231693728.5,NA,NA,NA,NA,NA,0,10.1254,18.6907,142595604.8,27.8689,142600000,NA,424537730.6,830580000,1381540000,511681472.4,166.3344,3.6877,8701.3549,17023.6256,10487.4591,2.8443,13725.9418,14534.6291,669686531,709142253,NA,NA,NA,NA,NA,NA,1297990000,480737028.5,666256172.8,56774354.81,240385185.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,354480808.9,NA,NA,NA,NA,399608492.2,4.4465,-0.3131,4.6824,9.2781,153.6024,89.7659,71.647,85.9377,439727146.9,39000000,271670000,60.7155,262742218,2122079218,145.8761,8.2049,11.1855,25.1181,11538000,10442083.7,32511521.48,2112367710,-8315000,550403064.2,-30993807.41,-83550000,-30944443.9,0,0,-19190651.85,95.9455,57.6936,259060140,19.8257,9.5551,134.5844,96.9067,9.6214,160785497.8,114095623.7,0.6049,0.5843,1.6745,8,NA,9.5614,34.8969,95790630.06,2.8765,95790630.06,53.7211,NA,0,6009000,7.2803,37252000,33489795.56,3.6877,4.62714,3.52214,4.4465,4.1655,3.38968,-26.4624,-21.78586,-23.39198,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,NA,NA,-0.051495549,-0.038234314,1.528994969,0.307404966,0.557143778,24.66076257,20.29069056
"St_Lucia",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.325980224,NA,NA,1.5953,NA,NA,2.6644,4.4942,4,-18575826.26,43801078,2.8388,28.2909,104.9282,0,-33.4686,-319699404.8,32235243.33,7.1073,32247000,36447000,3.1008,127.3745,119.8404,NA,NA,NA,447472388.9,NA,NA,NA,NA,453714878.1,NA,NA,NA,NA,NA,0,NA,20.3586,260932784.1,27.3162,260930000,0,788668630,1742850000,2579100000,955222205.4,147.9818,1.1174,4695.1419,10375.6225,5686.677,-0.0633,9055.3,9588.8084,1521068213,1610684536,NA,NA,NA,NA,NA,NA,2395560000,887244428.8,1496061202,100344426.3,540935115.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,717359312.6,NA,NA,NA,NA,785438404.4,2.5289,3.233,7.0211,10.1219,103.1819,NA,56.1251,NA,NA,112000000,615951000,76.2075,714672382,2661163382,99.8315,6.4118,6.9451,46.1872,14894000,5767407.407,12024121.48,3285115078,2327000,-37691119.73,-61836602.59,-183540000,-67977776.58,0,0,-2584235.185,79.1687,45.8748,392002600,7.1073,3.6345,75.4717,89.3833,6.6731,347127962.6,176424196.7,35.9593,39.3399,112.8041,8,NA,4.1079,34.8745,153719600.5,2.3485,153719600.5,54.8095,NA,0,4229000,3.2544,31087000,28501871.11,1.1174,4.07992,2.71922,2.5289,2.25488,2.67442,-33.4686,-22.93002,-18.84748,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,-0.09935112,-0.076517566,1.273744747,0.451337676,0.521252623,19.68471675,16.88501569
