DATE,FFR,Tbill,Tb1yr,r5,r10,PPINSA,Finished,CPI,CPICORE,M1NSA,M2SA,M2NSA,Unemp,IndProd,RGDP,Potent,Deflator,Curr
1975Q1,6.3,5.75,6.31,7.27,7.54,57.17,56.63,52.57,31.44,273.77,2745.4,913.7,8.27,40.57,4791.2,5037.8,32.757,77.6
1975Q2,5.42,5.39,6.53,7.74,8.05,57.8,57.47,53.2,31.92,278.13,2846,951.4,8.87,40.02,4827.8,5081.7,33.245,79.5
1975Q3,6.16,6.33,7.52,8.21,8.3,59.03,58.87,54.27,32.4,283.8,2949.7,983.5,8.47,41.02,4909.1,5124.7,33.864,81.9
1975Q4,5.41,5.63,6.68,7.84,8.06,59.67,59.97,55.27,32.93,290.03,3020.9,1006.07,8.3,41.9,4973.3,5167.2,34.463,84
1976Q1,4.83,4.92,5.98,7.47,7.75,59.93,59.97,55.9,33.43,288.73,3116.9,1036.73,7.73,43.18,5086.3,5208.6,34.837,84.6
1976Q2,5.2,5.16,6.28,7.48,7.77,60.87,60.4,56.4,33.83,294.33,3210.5,1072.67,7.57,43.74,5124.6,5249.9,35.208,87.4
1976Q3,5.28,5.15,6.01,7.31,7.73,61.6,60.9,57.3,34.36,298.03,3295.8,1099.1,7.73,44.31,5149.7,5291.5,35.686,89.5
1976Q4,4.87,4.67,5.23,6.46,7.19,62.13,61.9,58.13,34.9,307.7,3415.2,1137.87,7.77,45.12,5187.1,5333.7,36.331,91.9
1977Q1,4.66,4.63,5.42,6.78,7.35,63.47,63.13,59.2,35.48,308.9,3531.3,1174.23,7.5,46.02,5247.3,5377.8,36.943,92.3
1977Q2,5.16,4.84,5.69,6.83,7.37,65.03,64.33,60.23,36.02,315.97,3626.4,1210.63,7.13,47.46,5351.6,5422.7,37.47,95
1977Q3,5.82,5.5,6.28,6.97,7.36,65.13,65.17,61.07,36.62,322.03,3709.9,1237.63,6.9,47.99,5447.3,5468.8,37.927,97.7
1977Q4,6.51,6.11,6.96,7.38,7.6,65.87,66.33,61.97,37.16,333.1,3786.7,1263.03,6.67,48.31,5446.1,5516,38.758,100.8
1978Q1,6.76,6.39,7.31,7.82,8.01,67.47,67.43,63.03,37.75,332.67,3857.4,1282.43,6.33,48.17,5464.7,5564.6,39.326,101.7
1978Q2,7.28,6.48,7.79,8.17,8.32,69.5,69.13,64.47,38.41,342.27,3929.4,1310.4,6,50.08,5679.7,5616.8,40.05,104.4
1978Q3,8.1,7.31,8.45,8.43,8.49,70.6,70.6,65.97,39.07,349.9,4002.6,1335.4,6.03,50.53,5735.4,5669.5,40.716,107.4
1978Q4,9.58,8.57,9.82,8.84,8.82,72.2,72.07,67.5,39.77,360.43,4077.4,1361.4,5.9,51.45,5811.3,5722.1,41.575,111
