Date,Open,High,Low,Close,Volume,Adj Close
5/1/16,202.309998,202.880005,201.039993,202.419998,5262200,202.419998
4/1/16,201.470001,202.009995,199.589996,202,7440000,202
31/12/15,206.210007,206.899994,204.869995,204.869995,6230700,204.869995
30/12/15,208.130005,208.210007,206.779999,206.970001,5214000,206.970001
29/12/15,207.559998,208.800003,207.5,208.509995,4690800,208.509995
28/12/15,206.089996,206.449997,205.149994,206.339996,3710800,206.149992
24/12/15,206.979996,207.539993,206.639999,206.830002,2254700,206.639546
23/12/15,207.080002,208.460007,206.940002,208.440002,5300100,207.062157
22/12/15,205.039993,206.229996,203.910004,205.850006,4574300,204.489281
21/12/15,203.830002,204.229996,202.429993,203.960007,3705000,202.611775
18/12/15,205.130005,205.229996,202.139999,202.220001,7050500,200.883272
17/12/15,209.589996,209.679993,206,206.080002,6569100,204.717756
16/12/15,207.619995,209.580002,205.919998,209.169998,5650100,207.787327
15/12/15,205.869995,207.25,205.679993,206.190002,4734900,204.82703
14/12/15,203.220001,204.179993,201.100006,204.179993,8135300,202.830307
11/12/15,204.589996,205.259995,202.630005,202.889999,8088900,201.548841
10/12/15,206.610001,208.580002,206.300003,207.009995,6195600,205.641602
9/12/15,207.380005,209.850006,205.360001,206.490005,5733400,205.12505
8/12/15,207.669998,209.199997,206.940002,208.130005,7065500,206.754208
7/12/15,210.399994,210.449997,208.369995,209.5,5875100,208.115148
4/12/15,207.25,211.169998,207.089996,210.800003,6690300,209.406557
3/12/15,210.029999,210.339996,205.910004,206.759995,5916800,205.393254
2/12/15,211.839996,212.199997,209.410004,209.740005,3847000,208.353567
1/12/15,210.639999,212.029999,210.309998,211.929993,4190400,210.529077
30/11/15,211,211.080002,209.75,209.869995,5284800,208.482697
27/11/15,210.600006,210.990005,210.059998,210.710007,1062400,209.317156
25/11/15,210.729996,210.929993,210.25,210.529999,1887000,209.138338
24/11/15,208.960007,211.009995,208.610001,210.520004,3222000,209.128409
23/11/15,210.479996,211.169998,209.710007,210.220001,2329200,208.830389
20/11/15,210.660004,211.320007,210.059998,210.619995,5014100,209.227739
19/11/15,209.789993,210.240005,209.399994,209.669998,3369100,208.284022
18/11/15,207.199997,210.089996,207.169998,209.869995,4701900,208.482697
17/11/15,207.139999,208.199997,206.039993,206.550003,8067600,205.184651
16/11/15,203.410004,206.820007,203.309998,206.820007,4713700,205.45287
13/11/15,205.460007,205.820007,203.570007,203.669998,6866500,202.323684
12/11/15,207.649994,208.220001,205.970001,205.970001,4298500,204.608483
11/11/15,210.080002,210.110001,208.839996,208.910004,2044600,207.529051
10/11/15,208.690002,209.779999,208.360001,209.720001,3550100,208.333694
9/11/15,210.479996,210.619995,208.130005,209.210007,3548900,207.827071
6/11/15,210.929993,211.509995,209.660004,211.240005,3182700,209.843651
5/11/15,211.649994,212.199997,210.279999,211.320007,2726800,209.923124
4/11/15,212.509995,212.690002,210.940002,211.580002,3355600,210.1814
3/11/15,211.139999,212.869995,210.910004,212.130005,3078100,210.727767
