date,spx,nky,ukx,as51
1986-06-10,239.580002,16968,1586.400024,1222.099976
1986-06-11,241.130005,17096,1571.400024,1225.400024
1986-06-12,241.490005,17131,1571.800049,1218.599976
1986-06-13,245.729996,17206,1582.400024,1216.300049
1986-06-16,246.130005,17186,1593.599976,1209.099976
1986-06-17,244.350006,17076,1605.300049,1197.199951
1986-06-18,244.990005,17177,1619,1200.599976
1986-06-19,244.059998,17278,1629.599976,1210.800049
1986-06-20,247.580002,17403,1637.199951,1214.699951
1986-06-23,245.259995,17458,1622.800049,1214.800049
1986-06-24,247.029999,17342,1624.900024,1205.900024
1986-06-25,248.929993,17517,1629.400024,1195.699951
1986-06-26,248.740005,17601,1637.5,1190.099976
1986-06-27,249.600006,17500,1639.099976,1183.599976
1986-06-30,250.839996,17654,1649.800049,1179.800049
1986-07-01,252.039993,17623,1660.800049,1175.800049
1986-07-02,252.699997,17670,1656.699951,1149.900024
1986-07-03,251.789993,17692,1656.199951,1135.800049
1986-07-07,244.050003,17714,1631,1136.199951
1986-07-08,241.589996,17734,1599,1125.199951
1986-07-09,242.820007,17506,1614.599976,1122.300049
1986-07-10,243.009995,17470,1626.699951,1134
1986-07-11,242.220001,17670,1626.400024,1139.900024
1986-07-14,238.110001,17821,1597.300049,1137.099976
1986-07-15,233.660004,17883,1593,1122.199951
1986-07-16,235.009995,17701,1597.300049,1127
1986-07-17,236.070007,17726,1609.300049,1126.900024
1986-07-18,236.360001,17839,1584.400024,1130.400024
1986-07-21,236.240005,17522,1560.199951,1135.400024
1986-07-22,238.179993,17639,1559.199951,1136.800049
1986-07-23,238.669998,17860,1572.300049,1137.699951
1986-07-24,237.949997,18026,1547.699951,1128.199951
1986-07-25,240.220001,18051,1545.800049,1118.800049
1986-07-28,236.009995,18039,1549.400024,1094.699951
1986-07-29,234.550003,17729,1556.400024,1105.099976
1986-07-30,236.589996,17799,1566.300049,1108.699951
1986-07-31,236.119995,17510,1558.099976,1123.5
1986-08-01,234.910004,17322,1561.800049,1124.900024
1986-08-04,235.990005,17263,1545.400024,1120.199951
1986-08-05,237.029999,17415,1561.599976,1127.199951
1986-08-06,236.839996,17353,1540.400024,1139.599976
1986-08-07,237.039993,17422,1529.900024,1150.5
1986-08-08,236.880005,17436,1526.699951,1153.099976
1986-08-11,240.679993,17479,1542.800049,1153.900024
1986-08-12,243.339996,17795,1558.199951,1149.199951
1986-08-13,245.669998,18001,1581,1160.199951
1986-08-14,246.25,18265,1588.199951,1163.800049
1986-08-15,247.149994,18376,1601.900024,1176.5
1986-08-18,247.380005,18597,1609,1185.900024
1986-08-19,246.509995,18793,1604.400024,1185.300049
1986-08-20,249.770004,18936,1604.599976,1177.599976
1986-08-21,249.669998,18951,1606.800049,1179.5
1986-08-22,250.190002,18951,1607.099976,1183.800049
1986-08-25,247.809998,18566,1607.099976,1179.199951
1986-08-26,252.839996,18641,1616.199951,1179.300049
1986-08-27,253.300003,18503,1629.800049,1182.400024
1986-08-28,252.839996,18370,1636.800049,1183.300049
1986-08-29,252.929993,18821,1661.199951,1192.300049
1986-09-02,248.520004,18695,1667.800049,1211.400024
1986-09-03,250.080002,18505,1670.699951,1220
1986-09-04,253.830002,18560,1680.300049,1231.699951
1986-09-05,250.470001,18775,1684.800049,1238.5
1986-09-08,248.139999,18552,1666.599976,1235.5
1986-09-09,247.669998,18474,1673.400024,1220.699951
1986-09-10,247.059998,18619,1663.5,1232.400024
1986-09-11,235.179993,18561,1636.5,1235.300049
1986-09-12,230.669998,18101,1608.599976,1235.900024
1986-09-15,231.940002,18554,1628.300049,1224.400024
1986-09-16,231.720001,17463,1596.699951,1222.099976
1986-09-17,231.679993,17337,1610.400024,1214.300049
1986-09-18,232.309998,17478,1614.199951,1199.300049
1986-09-19,232.210007,17523,1600.400024,1210.5
1986-09-22,234.929993,17706,1617.099976,1223.800049
1986-09-23,235.669998,17527,1610,1234.099976
1986-09-24,236.279999,17956,1603.400024,1235.900024
1986-09-25,231.830002,17988,1575.900024,1250.5
1986-09-26,232.229996,17961,1568.599976,1259
1986-09-29,229.910004,18106,1539.199951,1257.199951
1986-09-30,231.320007,17853,1555.800049,1257.199951
1986-10-01,233.600006,17564,1578.300049,1253.599976
1986-10-02,233.919998,17019,1573.099976,1275.599976
1986-10-03,233.710007,17240,1560.800049,1297.300049
1986-10-06,234.779999,17435,1578.900024,1310.800049
1986-10-07,234.410004,17604,1592.300049,1329.400024
1986-10-08,236.679993,17515,1587.800049,1332.199951
1986-10-09,235.850006,17650,1608.599976,1338.099976
1986-10-10,235.479996,17650,1599.400024,1329.900024
1986-10-13,235.910004,17339,1612.300049,1338.699951
1986-10-14,235.369995,17318,1592.5,1350.5
1986-10-15,238.800003,16970,1607.5,1347.800049
1986-10-16,239.529999,16872,1605,1353.400024
1986-10-17,238.839996,16700,1610,1367.300049
1986-10-20,235.970001,16523,1590.199951,1361.300049
1986-10-21,235.880005,16206,1591.199951,1372.699951
1986-10-22,236.259995,15820,1589.599976,1372.400024
1986-10-23,239.279999,16308,1572.5,1367.300049
1986-10-24,238.259995,16284,1577.099976,1362.300049
1986-10-27,238.770004,16158,1586.199951,1348.599976
1986-10-28,239.259995,16398,1583.599976,1357.5
1986-10-29,240.940002,16505,1597,1374.400024
1986-10-30,243.710007,17011,1615.800049,1365
1986-10-31,243.979996,16911,1632.099976,1377.5
1986-11-03,245.800003,16911,1639.199951,1375.5
1986-11-04,246.199997,16787,1637.699951,1381.099976
1986-11-05,246.580002,16714,1644.400024,1390.199951
1986-11-06,245.869995,16758,1648.5,1393.300049
1986-11-07,245.770004,16974,1662.599976,1403.5
1986-11-10,246.130005,17053,1656.199951,1400.699951
1986-11-11,247.080002,17301,1660.900024,1383.900024
1986-11-12,246.639999,17448,1654.5,1380.900024
1986-11-13,243.020004,17438,1644.599976,1379
1986-11-14,244.5,17391,1644.300049,1362.300049
1986-11-17,243.210007,17208,1628.599976,1326.699951
1986-11-18,236.779999,17274,1617.5,1316.400024
1986-11-19,237.660004,17284,1604.300049,1335.800049
1986-11-20,242.050003,17305,1610.699951,1331
1986-11-21,245.860001,17490,1624.900024,1346.099976
1986-11-24,247.449997,17490,1636.5,1337.599976
1986-11-25,248.169998,17748,1619.300049,1350.900024
1986-11-26,248.770004,17728,1633,1363.599976
1986-11-28,249.220001,18083,1636.699951,1379.599976
1986-12-01,249.050003,18308,1617.800049,1385.5
1986-12-02,254,18191,1625.5,1376.800049
1986-12-03,253.850006,18455,1615.099976,1390.5
1986-12-04,253.039993,18624,1610.099976,1411.099976
1986-12-05,251.169998,18637,1613.5,1420.300049
1986-12-08,251.160004,18711,1623.400024,1427.699951
1986-12-09,249.279999,18603,1635.900024,1440.300049
1986-12-10,250.960007,18776,1634.599976,1431
1986-12-11,248.169998,18731,1634,1437.400024
1986-12-12,247.350006,18831,1629.800049,1437.699951
1986-12-15,248.210007,18789,1637,1437.300049
1986-12-16,250.039993,18933,1637.900024,1446.699951
1986-12-17,247.559998,18848,1636.300049,1453.800049
1986-12-18,246.779999,18724,1630.599976,1453.5
1986-12-19,249.729996,18930,1632.199951,1455.900024
1986-12-22,248.75,18825,1652.199951,1460.699951
1986-12-23,246.339996,18809,1660.900024,1464
1986-12-24,246.75,18903,1665.099976,1462.300049
1986-12-26,246.919998,18821,1665.099976,1462.300049
1986-12-29,244.669998,18821,1671.599976,1467.400024
1986-12-30,243.369995,18821,1673.099976,1470.5
1986-12-31,242.169998,18821,1679,1473.099976
