"Index","Mkt.RF","SMB","HML","RF","RFJ","JPY.r","Mkt.RFJ","SMBJ","HMLJ"
"1994-09-30",-0.0322,-0.0174,0.0059,0.0037,0.00204191148498034,0.0107016658253407,-0.0408284962417478,-0.0172157626610728,0.00583752871840975
"1994-10-31",0.022,-0.0068,0.0095,0.0038,0.00222262729435707,0.0221878224974201,0.00131114352845962,-0.00665239777889955,0.00929379101463907
"1994-11-30",-0.0655,-0.0194,-0.0009,0.0037,0.00208671683574346,-0.0203215043979376,-0.0444256022846599,-0.0198024148606811,-0.000918668730650155
"1994-12-31",0.0161,0.0053,-0.0041,0.0044,0.00195794395607596,-0.00692771084337351,0.0256611036629717,0.00533697300576281,-0.00412860175917501
"1995-01-31",-0.0685,0.0201,-0.0221,0.0042,0.00193428864179812,0.00170974554963288,-0.0678313669550511,0.0200656927710843,-0.0220622791164659
"1995-02-28",-0.0561,-0.009,0.0008,0.004,0.00183960590102972,0.0292960662525881,-0.0809189582091863,-0.00874383988735794,0.000777230212209595
"1995-03-31",0.086,-0.0345,0.0123,0.0046,0.00134500553719774,0.112262521588947,-0.0208210924937196,-0.0310178571428571,0.0110585403726708
"1995-04-30",0.0367,-0.0204,-0.0183,0.0045,0.00111974480592369,0.0334364588291289,0.00639260982850343,-0.0197399654576857,-0.0177079101899827
"1995-05-31",-0.0679,-0.0261,-0.0067,0.0054,0.000738658376514767,-0.00720614294152389,-0.0564338630409603,-0.0262894455021418,-0.0067486316039981
"1995-06-30",-0.046,-0.0167,0.0193,0.0047,0.000642723113866595,-0.00153338051427221,-0.0404704136041207,-0.0167256467808624,0.0193296396928529
"1995-07-31",0.059,0.0011,-0.0244,0.0045,0.000480395343659845,-0.0402988453701608,0.107677071039921,0.00114619013918377,-0.0254245812691673
"1995-08-31",-0.0308,0.031,-0.0053,0.0047,0.000493657454735619,-0.0962659846547314,0.077146426312527,0.0343021281412723,-0.00586455739189495
"1995-09-30",-0.016,-0.018,-0.0194,0.0043,0.00019811731312247,-0.013622603430878,0.0017510386971078,-0.0182485933503836,-0.0196679283887468
"1995-10-31",-0.0432,0.0186,-0.0066,0.0047,0.000175663516725821,-0.0309016233131234,-0.00801632951067122,0.0191930978809284,-0.00681045408678103
"1995-11-30",0.0409,0.0074,0.0045,0.0042,0.000101609862326546,0.00451866404715129,0.0402971775423282,0.00736671230197536,0.00447975748093096
"1995-12-31",0.0435,0.0178,0.0257,0.0049,0.000247163728529287,-0.0143299767621998,0.0633948009080127,0.0180587819253438,0.0260736345776031
"1996-01-31",-0.0167,0.0314,0.0204,0.0043,0.000371739013002026,-0.034315100514259,0.0223221029699567,0.0325157823392719,0.0211249031758327
"1996-02-29",-0.0184,-0.0034,-0.003,0.0039,0.000593061698706432,0.0174086757990868,-0.0319557545458312,-0.00334182328190743,-0.00294866760168303
"1996-03-31",0.026,-0.0089,-0.0096,0.0039,0.00043645078320953,-0.0175700934579439,0.0478826131437311,-0.0090591704718417,-0.00977168949771689
"1996-04-30",0.0638,0.05,0.0125,0.0046,0.00065596158031811,0.0226512472522222,0.0440794776720181,0.048892523364486,0.0122231308411215
"1996-05-31",-0.0491,0.0091,0.0063,0.0042,0.000401611705561411,-0.0311139920362997,-0.0146303319578791,0.00939222976201854,0.00650231291216668
"1996-06-30",-0.0003,-0.0169,0.0119,0.004,0.000468789409945103,-0.0136097917427842,0.0170798354627286,-0.0171331789980554,0.0120641911288082
"1996-07-31",-0.0517,-0.0124,0.0103,0.0045,0.000657616253170623,0.025381661515407,-0.0714426363481653,-0.0120930580928023,0.010045040189989
"1996-08-31",-0.0472,0.0067,-0.0044,0.0041,0.000226384578974503,-0.0177552897884085,-0.0260292318207092,0.00682111079891355,-0.00447953545003278
"1996-09-30",0.0244,-0.0478,0.0043,0.0044,0.000346007440309437,-0.026421854008061,0.0563745077390836,-0.0490972401103956,0.00441669733210672
"1996-10-31",-0.0728,0.005,0.0045,0.0042,0.000233034423470446,-0.0188065735126109,-0.0509808535009447,0.00509583519928348,0.00458625167935513
"1996-11-30",0.0022,-0.0503,0.0137,0.0041,0.000238852638503761,-0.000790305584826068,0.00685706088641047,-0.0503397838122858,0.0137108357500659
"1996-12-31",-0.0752,-0.0463,0.0202,0.0046,0.000254643060124904,-0.0163254729204458,-0.0554299328388391,-0.0470684141201265,0.0205352476290832
"1997-01-31",-0.1118,0.0068,0.0109,0.0045,0.000243839383674338,-0.0451958762886597,-0.0652876763017016,0.00712187958883994,0.011415954046817
"1997-02-28",0.0146,-0.025,-0.005,0.0039,0.000275415753981489,0.00347595795746081,0.0146965842460185,-0.0249134020618557,-0.00498268041237113
"1997-03-31",-0.041,-0.0437,0.0167,0.0043,0.000420691901153569,-0.02335919818946,-0.0140805776911065,-0.0447452122817181,0.0170994289497641
"1997-04-30",0.0149,-0.0523,-0.0018,0.0043,0.000573189538663588,-0.0260568369676455,0.0458944470601077,-0.0536992321370837,-0.00184815712900097
"1997-05-31",0.1305,0.0432,-0.0438,0.0049,0.000626999932236139,0.0913230240549827,0.0397615696969853,0.0395849799260017,-0.0401347713138629
"1997-06-30",0.0544,-0.0308,-0.0067,0.0037,0.000526804274725956,0.0156181834045896,0.041301726653109,-0.0303263573883161,-0.00659696735395189
"1997-07-31",-0.0444,-0.0738,-0.0226,0.0043,0.000385846785033506,-0.0317648052716061,-0.00899449349997983,-0.0762211499869122,-0.0233414361748539
"1997-08-31",-0.0983,-0.0123,0.0027,0.0041,0.000350158186449567,-0.0188976377952755,-0.0771029671752138,-0.0125369181380417,0.00275200642054575
"1997-09-30",-0.0296,-0.1143,-0.0197,0.0044,0.000395803894882363,-0.000497059067185779,-0.0251110297548077,-0.114356842105263,-0.0197097969332781
"1997-10-31",-0.0807,0.0808,-0.0086,0.0042,0.000369249178977293,0.00265802807542159,-0.0793174307712232,0.080585800679314,-0.00857720155745174
"1997-11-30",-0.0835,-0.0947,-0.032,0.0039,0.000297014323016986,-0.0575387505871302,-0.0237051379213223,-0.10048158484924,-0.0339536506354348
"1997-12-31",-0.0812,-0.0669,-0.0179,0.0048,0.000467131298511836,-0.0207742430049825,-0.0572729869427895,-0.0683192813527478,-0.0182797479254736
"1998-01-31",0.1055,0.1335,0.0195,0.0043,0.000535089092635443,0.0263571990558613,0.0807648725785031,0.130071674971253,0.0189992334227673
"1998-02-28",0.0082,0.0459,0.0101,0.0039,0.000450548521388372,0.00777037741833175,0.00384569066035834,0.045546089693155,0.0100221243115657
"1998-03-31",-0.0692,-0.0294,0.0122,0.0039,0.000446402354642883,-0.0537924825568309,-0.0126081292813793,-0.0310714081826832,0.012893577545195
"1998-04-30",-0.0229,-0.0241,-0.0183,0.0043,0.000364269306417642,0.00695021530558271,-0.0257381308114067,-0.0239336559381799,-0.0181736889489084
"1998-05-31",-0.049,0.0027,0.0057,0.004,0.000320268584823147,-0.0442599277978339,-0.00109461322484738,0.00282503588426381,0.00596396464455692
"1998-06-30",0.0031,0.0008,0.0034,0.0041,0.000384187160732408,0.00151854797888507,0.00528865038439386,0.000798787003610108,0.00339484476534296
"1998-07-31",-0.0163,0.0074,-0.0165,0.004,0.000361779267874951,-0.043968199101279,0.0327628501341066,0.00774032829561067,-0.0172588401185914
"1998-08-31",-0.0926,0.0153,-0.0158,0.0043,0.000308642197236475,0.0266146202980837,-0.112244141678744,0.0149033529208434,-0.0153903905979952
"1998-09-30",-0.0391,-0.0176,-0.024,0.0046,0.000222228179194373,0.0315542865509921,-0.0642559755177324,-0.0170616323633783,-0.0232658623136977
"1998-10-31",0.1612,-0.0467,0.0165,0.0032,0.000181485403798254,0.172949763847145,-0.00747059880887901,-0.0398141518412768,0.0140670986162969
"1998-11-30",0.0363,0.0138,0.0209,0.0031,0.000166514083820735,-0.054865676487298,0.0995713476594167,0.0146010991841992,0.0221132589094032
"1998-12-31",0.0278,0.0009,-0.0198,0.0038,0.000477079513715228,0.0895825963919348,-0.0536925003399467,0.00082600438276114,-0.0181720964207451
"1999-01-31",0.0079,-0.0048,-0.0042,0.0035,0.000411567089638964,-0.0251724137931034,0.0371052351742449,-0.00492394764768306,-0.00430845419172267
"1999-02-28",-0.026,0.0413,-0.0457,0.0035,0.000239683781690703,-0.0227464195450717,0.0000124713907232454,0.0422612931034483,-0.0467637068965517
"1999-03-31",0.1361,-0.0061,0.016,0.0043,0.000175663516725821,0.00227982774634805,0.137630334798354,-0.00608612468407751,0.0159636057287279
"1999-04-30",0.0467,0.044,0.0389,0.0037,0.000111598143378577,-0.00837310558486137,0.0591577761705622,0.0443715274845901,0.0392284640716035
